sub_id,articulacion,candidato,r_crudo,r_cal,rmse_cal
40,cadera,Koopman,0.977372778640931,0.977372778640931,4.45335039896828
41,cadera,Koopman,0.99367391086719,0.99367391086719,4.41558265129865
42,cadera,Koopman,0.991325194300204,0.991325194300204,6.98358237296607
1,cadera,Zhao,0.951965444399013,0.951965444399013,8.14214044147258
2,cadera,Zhao,0.960144832016428,0.960144832016428,10.1213633393181
3,cadera,Zhao,0.938432251801754,0.938432251801754,5.33933573843002
4,cadera,Zhao,0.980751344158806,0.980751344158806,6.05682501715551
5,cadera,Zhao,0.915428894420653,0.915428894420653,15.5794712310978
6,cadera,Zhao,0.891698106324389,0.89169810632439,7.57073909914098
7,cadera,Zhao,0.958966452770389,0.958966452770389,9.8255746387331
8,cadera,Zhao,0.947759073687823,0.947759073687822,5.65718351937366
9,cadera,Zhao,0.970168087579505,0.970168087579505,5.54250321927687
10,cadera,Zhao,0.953110655171189,0.953110655171189,7.18292009326905
11,cadera,Zhao,0.981465264200766,0.981465264200766,4.25928978179178
12,cadera,Zhao,0.917881520103093,0.917881520103093,9.06105608908815
13,cadera,Zhao,0.961500131930512,0.961500131930511,10.3634476943183
14,cadera,Zhao,0.948006765866647,0.948006765866647,7.88248859686676
15,cadera,Zhao,0.904641912824352,0.904641912824352,7.28333906684296
16,cadera,Zhao,0.965336845360987,0.965336845360987,6.77799800949582
17,cadera,Zhao,0.904870371302956,0.904870371302956,10.7839106319889
18,cadera,Zhao,0.9645660752528,0.9645660752528,5.57398995441209
19,cadera,Zhao,0.905393159512306,0.905393159512306,6.16176008637058
20,cadera,Zhao,0.952940195048162,0.952940195048162,5.2183152845392
21,cadera,Zhao,0.958861611989533,0.958861611989533,6.51656142547295
22,cadera,Zhao,0.952420018416329,0.952420018416329,5.93273569250205
23,cadera,Zhao,0.949848006984004,0.949848006984004,9.3230421790904
24,cadera,Zhao,0.936308381387451,0.936308381387451,8.92503180787859
25,cadera,Zhao,0.893894276874779,0.893894276874779,6.49309709356416
26,cadera,Zhao,0.943104103009298,0.943104103009297,15.4259214977781
27,cadera,Zhao,0.912470526188117,0.912470526188117,15.9712420902716
28,cadera,Zhao,0.87888783727222,0.87888783727222,9.76122106374991
29,cadera,Zhao,0.917397998492858,0.917397998492858,6.97132273339098
30,cadera,Zhao,0.983439120754193,0.983439120754193,4.6691819640953
31,cadera,Zhao,0.92561933377067,0.92561933377067,5.50173586551614
32,cadera,Zhao,0.894230542454928,0.894230542454928,9.69684392271451
33,cadera,Zhao,0.96488471125773,0.964884711257731,15.1716764272524
34,cadera,Zhao,0.93237970138755,0.93237970138755,10.3569185814964
35,cadera,Zhao,0.916003879103773,0.916003879103773,13.2482558716124
36,cadera,Zhao,0.901958080839487,0.901958080839487,12.2986963419782
37,cadera,Zhao,0.845403828171614,0.845403828171613,8.40093889294499
38,cadera,Zhao,0.940107677682795,0.940107677682795,5.7449448167356
39,cadera,Zhao,0.898278325907044,0.898278325907044,7.81821881167077
40,cadera,Zhao,0.958438733344951,0.958438733344951,6.82305148519238
41,cadera,Zhao,0.890742857309778,0.890742857309778,8.56518487050058
