frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
589,5.89,1481.1471,868.17664,1684.61,495.651,1484.538,99.40515
590,5.9,1491.8259,867.7855,1699.38,496.634,1522.2943,89.4432
591,5.91,1502.511,866.9282,1713.14,497.186,1560.8589,80.19982
592,5.92,1513.6447,866.37317,1725.87,497.163,1599.0319,71.89772
593,5.93,1524.814,865.49615,1737.9,496.414,1637.6354,64.37387
594,5.94,1535.912,864.7149,1748.27,494.881,1676.7686,57.73931
595,5.95,1547.1562,863.4117,1758.59,492.721,1715.5156,52.347073
596,5.96,1558.4763,861.95905,1768.1,489.727,1753.8251,48.353634
597,5.97,1569.5415,860.50507,1776.72,486.485,1791.0828,45.997665
598,5.98,1580.8911,858.8015,1784.85,482.569,1827.434,44.76136
599,5.99,1592.3944,857.58545,1792.45,478.62,1861.604,44.908443
600,6.0,1604.3743,856.15845,1799.84,474.509,1893.395,45.795254
601,6.01,1616.527,854.5906,1807.54,470.71,1922.6382,47.931828
602,6.02,1628.8882,853.22504,1815.69,467.163,1948.7526,49.714966
603,6.03,1641.4448,851.79974,1825.09,464.168,1969.9229,50.679398
604,6.04,1653.4182,850.3618,1834.65,461.9,1989.8087,51.78498
605,6.05,1664.9834,848.9819,1846.96,460.722,2004.9319,51.444405
606,6.06,1675.8081,847.6536,1861.02,460.702,2015.7516,49.573753
607,6.07,1687.6932,846.8908,1875.28,461.044,2024.7653,47.23865
608,6.08,1699.3005,845.91113,1890.75,461.673,2031.039,44.387466
609,6.09,1711.5884,845.19745,1905.73,461.981,2034.344,40.38912
610,6.1,1723.4137,844.092,1919.91,461.853,2035.4156,36.54943
611,6.11,1735.918,843.13385,1932.72,460.905,2035.2991,32.731224
612,6.12,1748.5247,842.25024,1944.6,459.732,2035.8947,31.521696
613,6.13,1760.7003,842.0455,1954.63,459.249,2042.6106,32.33509
614,6.14,1773.0479,843.0369,1966.85,459.744,2052.869,33.32839
615,6.15,1785.3881,844.5595,1977.92,460.361,2059.5396,33.767838
616,6.16,1796.7274,845.8157,1986.82,460.933,2061.576,33.7139
617,6.17,1807.0941,847.0741,1996.11,462.296,2060.0745,34.39649
618,6.18,1816.4183,848.1086,2006.4102,464.237,2059.7969,35.30808
619,6.19,1826.4482,849.7272,2017.2802,466.158,2061.1887,37.13346
620,6.2,1836.0864,851.0061,2026.2799,467.098,2063.3928,38.644234
621,6.21,1845.9138,852.57776,2034.06,467.966,2063.8318,39.80548
622,6.22,1855.5826,854.127,2039.6901,468.253,2064.653,40.930252
623,6.23,1865.0269,856.07715,2044.1602,468.314,2066.6013,41.408764
624,6.24,1873.8549,857.8894,2048.98,468.221,2066.405,41.67325
625,6.25,1882.3243,860.12225,2052.59,468.615,2066.4744,41.998444
626,6.26,1890.0037,862.3227,2056.06,469.093,2066.5989,42.512207
627,6.27,1896.8531,864.103,2060.06,469.456,2066.6367,43.0599
628,6.28,1903.9899,866.27325,2063.61,470.043,2067.1465,43.60726
629,6.29,1910.08,868.20685,2066.51,470.642,2067.815,43.988567
630,6.3,1915.6353,869.7228,2069.1,470.831,2067.7058,44.246433
631,6.31,1921.3049,871.64246,2070.53,471.198,2067.4822,44.408165
632,6.32,1927.2466,873.5373,2071.63,471.332,2067.4175,44.537792
633,6.33,1932.6194,875.3463,2072.53,471.583,2067.2864,44.646614
634,6.34,1937.9725,877.138,2073.08,471.926,2067.8635,44.855724
635,6.35,1942.322,878.3772,2074.23,472.119,2067.9812,45.065643
636,6.36,1947.3376,880.036,2075.05,472.437,2067.3994,45.277866
637,6.37,1951.8656,881.4967,2075.73,472.647,2067.5525,45.343243
638,6.38,1956.178,882.766,2075.97,472.963,2065.6309,45.68788
639,6.39,1960.1246,883.88965,2076.93,472.841,2067.4202,45.528088
640,6.4,1964.1267,885.06665,2077.4,473.015,2067.495,45.78904
641,6.41,1968.372,886.39264,2077.8,473.178,2067.4556,45.686573
642,6.42,1972.3712,887.48096,2078.55,473.391,2067.1626,45.769386
643,6.43,1975.5063,888.2641,2079.49,473.515,2067.0696,45.77814
644,6.44,1979.0135,888.98126,2080.49,473.505,2067.167,45.613087
645,6.45,1982.3724,889.60364,2081.4,473.56,2067.0984,45.54579
646,6.46,1985.68,890.1985,2082.18,473.535,2067.075,45.505672
647,6.47,1989.3958,890.6799,2082.35,473.335,2067.4941,45.594826
648,6.48,1994.85,891.6547,2081.87,472.866,2066.6938,45.31121
649,6.49,1998.0486,892.1961,2082.17,472.838,2066.8237,45.288647
650,6.5,2001.2817,892.7362,2082.63,472.81,2066.5703,45.008934
651,6.51,2004.4429,893.15894,2083.29,472.8,2066.424,44.860207
652,6.52,2007.715,893.58734,2084.12,472.811,2066.307,44.69536
653,6.53,2010.6476,893.96545,2085.18,472.887,2066.1975,44.578922
654,6.54,2013.9465,894.3337,2086.29,472.945,2065.91,44.621143
656,6.56,2018.6553,894.72424,2090.01,473.355,2065.3057,44.492374
658,6.58,2024.636,895.178,2094.64,473.471,2064.4114,44.26696
661,6.61,2035.1172,895.7529,2102.37,473.635,2064.0574,44.289352
662,6.62,2036.7737,895.54584,2105.89,473.913,2064.3936,44.34201
663,6.63,2038.3079,895.18933,2108.99,474.046,2064.5522,44.544846
664,6.64,2040.4222,895.1144,2111.8,474.284,2064.8137,44.78086
665,6.65,2042.8586,895.2172,2114.15,474.405,2064.4336,45.03877
666,6.66,2044.8191,895.4853,2115.68,474.589,2064.6465,45.226604
667,6.67,2047.5516,895.95447,2116.36,474.932,2065.2344,45.450993
668,6.68,2049.9282,896.50305,2117.39,474.95,2064.5244,45.428722
669,6.69,2052.172,897.07465,2117.41,475.077,2064.4534,45.377758
670,6.7,2053.661,897.5511,2117.12,475.251,2064.2908,45.294014
671,6.71,2056.6152,897.8926,2116.99,475.054,2064.1301,45.079685
672,6.72,2058.8042,898.1,2116.71,474.875,2063.6372,44.803177
673,6.73,2060.2485,898.27203,2116.18,474.835,2063.3625,44.59553
674,6.74,2061.2454,898.2814,2115.83,474.764,2063.172,44.417397
675,6.75,2061.926,898.2455,2115.69,474.663,2063.2642,44.185833
676,6.76,2062.4043,898.24915,2115.91,474.689,2063.206,44.199783
677,6.77,2062.5637,898.1076,2116.68,474.55,2063.5686,44.039707
